show_id,type,title,cast,release_year,duration,listed_in,platform
n720,tv show,power rangers dino fury,"russell curry, hunter deno, kai moya, tessa rao, chance perez, shavaughn ruakere, blair strang",2021,1,kids,netflix
n721,tv show,rhyme time town,"luke amis, annabelle westenholz-smith, maddie evans, jude muir",2021,2,kids,netflix
n722,movie,rogue warfare: death of a nation,"will yun lee, jermaine love, rory markham, bertrand-xavier corbi, katie keene, fernando chien, gina decesare, michael blalock, stephen lang, chris mulkey",2020,99,action & adventure,netflix
n723,movie,sir! no sir!,troy garity,2005,84,documentary,netflix
n724,tv show,the american bible challenge,jeff foxworthy,2014,1,reality,netflix
n725,movie,the reason i jump,sin datos,2021,82,documentary,netflix
n726,tv show,elite short stories: guzmán caye rebe,"miguel bernardeau, claudia salas, georgina amorós",2021,1,"international, spanish-language tv shows, drama",netflix
n727,tv show,metallica: some kind of monster,"james hetfield, lars ulrich, kirk hammett, robert trujillo",2014,1,tv shows,netflix
n728,movie,picture a scientist,sin datos,2020,97,documentary,netflix
n729,movie,the devil below,"alicia sanz, will patton, jonathan sadowski, adan canto, zach avery, chinaza uche, jesse latourette",2021,89,horror,netflix
n730,movie,bling empire - the afterparty,"david spade, london hughes, fortune feimster",2021,36,movies,netflix
n731,movie,cobra kai - the afterparty,"david spade, london hughes, fortune feimster",2021,34,movies,netflix
n732,tv show,love (ft. marriage and divorce),"sung hoon, lee tae-gon, park joo-mi, lee ga-ryoung, lee min-young, jeon no-min, jeon soo-kyeong, lim hye-young, song ji-in, moon sung-ho, roh joo-hyun, kim ameliia, kim eung-soo, lee jong-nam, lee hyo-chun, jun hye-won, lim han-bin, park seo-kyung, shin su-ho, yun seo-hyun",2021,2,"international, drama",netflix
n733,movie,to all the boys: always and forever - the afterparty,"cast members of the ""to all the boys"" films dish about the third movie and answer some fan questions, plus whitney cummings gives suspect dating advice.",2021,36,movies,netflix
n734,tv show,lego friends: the power of friendship,"erica mendez, marianne miller, rachelle heger, millie o'conner, alexa kahn, doug stone, chris smith, bryce papenbrook, heather downey, chris hackney, ben pronsky",2016,2,kids,netflix
n735,tv show,lupin,"omar sy, ludivine sagnier, clotilde hesme, nicole garcia, hervé pierre, soufiane guerrab, antoine gouy, fargass assandé, vincent londez, shirine boutella",2021,2,"crime, international, action & adventure",netflix
n736,movie,sarbath,"kathir, soori, rahasya gorak, ashvatt",2021,113,"comedy, drama, international",netflix
n737,movie,skater girl,"rachel saanchita gupta, amy maghera, shafin patel, ambrish saxena, swati das, jonathan readwin, ankit yadav, anurag arora, vinayak gupta, vivek yadav, waheeda rehman",2021,110,"children & family movies, drama, international",netflix
n738,tv show,trese,"shay mitchell, liza soberano, jon jon briones, darren criss, manny jacinto, dante basco, nicole scherzinger, lou diamond phillips, steve blum",2021,1,"anime, crime, horror",netflix
n739,movie,trese after dark,sin datos,2021,36,"anime, documentary",netflix
n740,movie,wish dragon,"jimmy wong, john cho, constance wu, will yun lee, bobby lee, jimmy o. yang, ian chen",2021,102,"children & family movies, comedy",netflix
n741,movie,a haunted house 2,"marlon wayans, jaime pressly, essence atkins, affion crockett, hayes macarthur, rick overton, ashley rickards, cedric the entertainer, dave sheridan, missi pyle, gabriel iglesias, steele stebbins",2014,86,"comedy, horror",netflix
n742,movie,blind intersections,"alaa hammoud, ghida nouri, carole hajj, chadi haddad, leila hakim, charbel ziade, nibal arakji, caroline hatem, josyane boulos, mario bassil",2012,91,"drama, international",netflix
n743,movie,camellia sisters,"le khanh, kaity nguyen, hong van, khuong le, hoang dung, anh dung, si nguyen, huyng kien an",2021,117,"drama, international",netflix
n744,movie,copenhagen,"gethin anthony, frederikke dahl hansen, sebastian armesto, olivia grant, baard owe, mille dinesen, martin hestbæk, tamzin merchant",2014,99,"drama, independent movies, romance",netflix
n745,tv show,locombianos,"freddy beltrán, pamela ospina, diego camargo, catalina guzmán",2021,1,"international, spanish-language tv shows, stand up & talk shows",netflix
n746,movie,until midnight,"ahmad khamis ali, chuka ekweogwu, heba al hamwi, rik aby, merouane ali, khalid al suwaidi, saeed arjumand",2019,77,"international, thriller",netflix
n747,movie,awake,"gina rodriguez, ariana greenblatt, frances fisher, jennifer jason leigh, barry pepper, shamier anderson, finn jones, lucius hoyos, gil bellows",2021,97,"drama, thriller",netflix
n748,movie,confusion na wa,"ramsey nouah, oc ukeje, ali nuhu, tunde aladese, gold ikponmwosa, tony goodman, nathaniel deme, yanchat sankey, lisa pam tok, toyin alabi",2013,106,"comedy, drama, international",netflix
n749,tv show,"fresh, fried & crispy",sin datos,2021,1,reality,netflix
n750,tv show,l.a.’s finest,"jessica alba, gabrielle union",2021,2,"crime, action & adventure, comedy",netflix
n751,movie,tragic jungle,"indira andrewin, gilberto barraza, gabino rodríguez, eligio meléndez, mariano tun xool, dale carley, josé alfredo gonzález dzul, eliseo mancilla de la cruz",2021,97,"drama, independent movies, international",netflix
n752,tv show,guru aur bhole,amit kumar,2018,2,"kids, comedy",netflix
n753,movie,vampire academy,"zoey deutch, lucy fry, danila kozlovsky, gabriel byrne, dominic sherwood, sarah hyland, sami gayle",2014,104,"action & adventure, comedy, sci-fi & fantasy",netflix
n754,tv show,"newly rich, newly poor","martín karpan, carolina acevedo, jhon álex toro, maría cecilia botero, andrés toro, andrea noceti, diana neira, hugo gómez, isabel cristina estrada, mauricio vélez",2007,1,"international, romance, spanish-language tv shows",netflix
n755,movie,a private war,"rosamund pike, jamie dornan, tom hollander, stanley tucci, nikki amuka-bird, faye marsay, greg wise, corey johnson, raad rawi, jesuthasan antonythasan",2018,110,"drama, independent movies",netflix
n756,movie,kitty love: an homage to cats,nicolette kluijver,2021,61,"children & family movies, documentary, international",netflix
n757,movie,small chops,"chika ike, max cavenham, nkem owoh, nse ikpe-etim, toyin abraham, eucharia anunobi, sophie alakija, hafis ayetoro, omotunde adebowale david",2020,98,"drama, international, romance",netflix
n758,movie,breaking boundaries: the science of our planet,"david attenborough, johan rockström",2021,74,documentary,netflix
n759,tv show,feel good,"mae martin, charlotte ritchie, lisa kudrow, sophie thompson, tom andrews, tobi bamtefa, phil burgers, ophelia lovibond, adrian lukis, ritu arya, ramon tikaram",2021,2,"romance, comedy, drama",netflix
n760,movie,fireplace 4k: classic crackling fireplace from fireplace for your home,sin datos,2015,60,movies,netflix
n761,movie,fireplace 4k: crackling birchwood from fireplace for your home,sin datos,2015,60,movies,netflix
n762,tv show,human: the world within,sin datos,2021,1,"docuseries, science & nature tv",netflix
n763,movie,sweet & sour,"jang ki-yong, chae soo-bin, jung soo-jung",2021,103,"comedy, international, romance",netflix
n764,tv show,sweet tooth,"nonso anozie, christian convery, adeel akhtar, stefania lavie owen, dania ramirez, aliza vellani, will forte, james brolin, neil sandilands, mia artemis",2021,1,"action & adventure, drama, sci-fi & fantasy",netflix
n765,movie,trippin' with the kandasamys,"jailoshini naidoo, maeshni naicker, madhushan singh, mishqah parthiephal, koobeshan naidoo, yugan naidoo, mariam bassa, uraysha ramrachia",2021,94,"comedy, international, romance",netflix
n766,movie,xtreme,"teo garcía, óscar jaenada, óscar casas, andrea duro, sergio peris-mencheta, alberto jo lee, luis zahera, andrés herrera, nao albet, césar bandera, isa montalbán",2021,112,"action & adventure, international",netflix
